Date,HashRate,ActiveAddresses,TxVolumeUSD
2016-10-27,,544308.0,
2016-10-29,1878507.28210418,,166370935.98013
2016-10-31,,456149.0,
2016-11-02,1676788.3793279,,164356161.509587
2016-11-04,,429052.0,
2016-11-06,1949214.67726041,,114742910.971948
2016-11-08,,515899.0,
2016-11-10,2126416.01155681,,187826423.936318
2016-11-12,,441806.0,
2016-11-14,2177044.96421293,,167411486.834791
2016-11-16,,481300.0,
2016-11-18,2073243.13718006,,195698807.196307
2016-11-20,,452258.0,
2016-11-22,1877125.54312249,,221241977.735407
2016-11-24,,555782.0,
2016-11-26,2157293.53463331,,182382884.916916
2016-11-28,,531725.0,
2016-11-30,1989192.73972682,,206457187.757014
2016-12-02,,579169.0,
2016-12-04,2109770.13119712,,100381256.301266
2016-12-06,,569492.0,
2016-12-08,2238066.96349964,,233884533.88058
2016-12-10,,456468.0,
2016-12-12,2223811.75991047,,212868618.324386
2016-12-14,,495462.0,
2016-12-16,2050571.62855749,,239348887.735369
2016-12-18,,418499.0,
2016-12-20,2127660.78752582,,243951480.369348
2016-12-22,,528879.0,
2016-12-24,2112242.95573216,,202692630.219886
2016-12-26,,448558.0,
2016-12-28,2589949.6705277,,329559351.888611
2016-12-30,,496025.0,
2017-01-01,2463610.66220928,,166788994.438506
2017-01-03,,515024.0,
2017-01-05,2210932.64557243,,565779976.610049
2017-01-07,,503341.0,
2017-01-09,2147763.14141322,,272509052.560264
2017-01-11,,491693.0,
2017-01-13,2528855.36111398,,246890176.531767
2017-01-15,,417279.0,
2017-01-17,2646087.06659608,,291783384.764451
2017-01-19,,516339.0,
2017-01-21,3031276.95603728,,210309696.023502
2017-01-23,,425650.0,
2017-01-25,2930146.45884887,,266770577.731972
2017-01-27,,462951.0,
2017-01-29,3262229.72418507,,133740567.748452
2017-01-31,,523037.0,
2017-02-02,3066886.62692848,,212437107.387626
2017-02-04,,500098.0,
2017-02-06,2623276.58868094,,218963129.707101
2017-02-08,,516491.0,
2017-02-10,3105959.48099823,,289197728.970044
2017-02-12,,422085.0,
2017-02-14,3546669.94789663,,234339661.006721
2017-02-16,,489190.0,
2017-02-18,3330515.74407375,,179904049.623422
2017-02-20,,503953.0,
2017-02-22,3045669.00280428,,220185412.839073
2017-02-24,,590852.0,
2017-02-26,3900209.22661268,,199581169.873158
2017-02-28,,542157.0,
2017-03-02,3440072.18302354,,431801396.598851
2017-03-04,,489858.0,
2017-03-06,3252505.60193699,,292613411.670063
2017-03-08,,526233.0,
2017-03-10,3573175.16832514,,329245440.202684
2017-03-12,,422479.0,
2017-03-14,3573175.16832514,,347466704.53874
2017-03-16,,594406.0,
2017-03-18,3712647.13922469,,393335618.185788
2017-03-20,,512638.0,
2017-03-22,3807236.87525589,,388745237.566684
2017-03-24,,540390.0,
2017-03-26,3925474.04529489,,234975161.590919
2017-03-28,,553957.0,
2017-03-30,4073274.03319987,,345704441.184584
2017-04-01,,502791.0,
2017-04-03,4371318.47465352,,357722808.461735
2017-04-05,,577217.0,
2017-04-07,4023599.95962426,,411459319.524365
2017-04-09,,489533.0,
2017-04-11,4147785.14356328,,353047267.58305
2017-04-13,,449522.0,
2017-04-15,3909321.04724491,,274787437.027829
2017-04-17,,469210.0,
2017-04-19,3702204.70037101,,305279308.340359
2017-04-21,,612636.0,
2017-04-23,3961100.13396339,,211860005.848388
2017-04-25,,580199.0,
2017-04-27,3814281.63369607,,398959237.374387
2017-04-29,,634026.0,
2017-05-01,3892124.1160164,,446976193.582856
2017-05-03,,547222.0,
2017-05-05,3347226.73977411,,590516942.167419
2017-05-07,,581370.0,
2017-05-09,4021861.58655028,,759833620.667136
2017-05-11,,568522.0,
2017-05-13,4398136.0431084,,426951909.091612
2017-05-15,,636240.0,
2017-05-17,4314627.13089748,,944733565.5861
2017-05-19,,633618.0,
2017-05-21,4091936.69833503,,543457757.444168
2017-05-23,,687291.0,
2017-05-25,4828620.58576969,,1318459470.59989
2017-05-27,,651462.0,
2017-05-29,4473139.31565167,,568563505.464611
2017-05-31,,614127.0,
2017-06-02,4325022.11976917,,722150565.070563
2017-06-04,,537388.0,
2017-06-06,5094943.56098801,,888558904.123181
2017-06-08,,609713.0,
2017-06-10,4757530.08012788,,681180409.132709
2017-06-12,,538625.0,
2017-06-14,4723788.73204186,,822548360.611942
2017-06-16,,536166.0,
2017-06-18,5129905.64429561,,531175986.631959
2017-06-20,,591484.0,
2017-06-22,4917633.68660062,,691666616.597193
2017-06-24,,469728.0,
2017-06-26,5023769.66544811,,702272424.580716
2017-06-28,,549137.0,
2017-06-30,5448313.58083809,,771010449.218829
2017-07-02,,409306.0,
2017-07-04,5389830.93070805,,567987081.544197
2017-07-06,,459295.0,
2017-07-08,5812562.76841065,,561328143.364668
2017-07-10,,567053.0,
2017-07-12,6235294.60611324,,557154714.150382
2017-07-14,,473083.0,
2017-07-16,6518885.7883663,,461680301.680574
2017-07-18,,561056.0,
2017-07-20,6478892.62402049,,654227781.226007
2017-07-22,,433136.0,
2017-07-24,7118783.25355338,,568575160.453683
2017-07-26,,460147.0,
2017-07-28,6414280.01814729,,1311599707.74372
2017-07-30,,386559.0,
2017-08-01,6371518.15135964,,1380839765.70984
2017-08-03,,427729.0,
2017-08-05,7568850.42141381,,979154079.251385
2017-08-07,,512718.0,
2017-08-09,6333394.73736857,,808740219.23306
2017-08-11,,580988.0,
2017-08-13,6792336.38500398,,946915671.514233
2017-08-15,,650900.0,
2017-08-17,8215055.49267373,,1362840510.69978
2017-08-19,,535351.0,
2017-08-21,5277828.94780714,,816604742.108505
