,Open,High,Low,Close,Volume,RSI_14,ATR_14,MACD_Line,MACD_Signal,MACD_Histogram,BB_Position_20,FearGreedIndex,HashRate,ActiveAddresses,TxVolumeUSD,RSI_Signal_Neutral,RSI_Signal_Overbought (Sell),RSI_Signal_Oversold (Buy),BB_Signal_Above Upper Band (Sell),BB_Signal_Below Lower Band (Buy),BB_Signal_Neutral,Dist_EMA7_pct,Dist_EMA14_pct,Dist_EMA21_pct,Dist_EMA50_pct,Dist_EMA200_pct,EMA_7_21_ratio,EMA_21_50_ratio,EMA_50_200_ratio,EMA_21_slope,EMA_200_slope,ATR_pct,Return_5d,Return_10d,Return_20d,Dist_from_20d_high,Dist_from_20d_low,ADX_14
2022-07-29,1725.6239013671875,1759.884033203125,1662.7911376953125,1727.406982421875,23249531113,67.21081402654835,115.86623333550527,106.36156210682634,75.42578077813012,30.935781328696223,0.8565153798545253,39.0,200984332.91859323,708268.0,3110903345.229869,1,0,0,0,0,1,0.06635595083283,0.11612754680622918,0.15058341005177645,0.1497027641573394,-0.28790477457785046,0.09915918786573341,-0.0010356918231826384,-0.3397825269175113,0.06372129662029491,,0.06707523734392773,0.07998259623642467,0.11952995766710783,,,,66.64342510317982
2022-07-30,1727.0618896484375,1738.016845703125,1678.1080322265625,1695.969482421875,15576977870,64.77711304365711,111.86927477415222,110.20594274998348,82.38181317250078,27.824129577482694,0.789605678779466,42.0,177582047.57875702,601643.0,1279164246.4561443,1,0,0,0,0,1,0.036787026678281515,0.0864444193700734,0.12258010768286295,0.1286885543260087,-0.30867587412541503,0.0977788191899942,0.007010635144842681,-0.3342037834568574,0.0741210109691195,,0.0659618442039422,0.17336995541012734,0.11562210221653646,,,,64.38164314544973
2022-07-31,1695.884765625,1745.8831787109375,1672.61279296875,1681.517333984375,14200735370,63.6363320008911,109.11221127186903,110.80913576883904,88.06727769176845,22.74185807707059,0.7512049000406271,39.0,209243963.0385354,561055.0,1438862646.8271215,1,0,0,0,0,1,0.02138137020166026,0.06811365342066142,0.10458085543828148,0.11644695115136927,-0.31674024053819355,0.09291680409328862,0.013429975402779348,-0.3289845471058934,0.08280595305686167,,0.06488913855757072,0.16625707237005027,0.06644544455981594,,,,62.35815878773308
2022-08-01,1681.445556640625,1700.1708984375,1613.416015625,1635.19580078125,16191371176,59.98969482510896,107.51525923905696,106.3237756760252,91.7185772886198,14.605198387405409,0.6803456207357101,33.0,187218282.71868956,635502.0,2648018548.7209826,1,0,0,0,0,1,-0.004755572045137838,0.036153298328257394,0.07201416599738653,0.08783280643270508,-0.35051782952217436,0.08272727366041677,0.01734182126574324,-0.32457967334646143,0.07402126017973676,,0.0657506943129925,-0.00063369058442031,0.06360759837906027,,,,59.33154687145464
2022-08-02,1634.6458740234375,1672.6297607421875,1567.85107421875,1632.9454345703125,20426082309,59.8103788733862,107.31978975936985,101.41842131097064,93.65854609308997,7.759875217880676,0.6626254966678861,31.0,213373778.09850645,663588.0,2412379200.6057954,1,0,0,0,0,1,-0.004605171169772418,0.030181682928970555,0.06430482398660567,0.08318061921390611,-0.3488727230173812,0.07364577366955638,0.02058834665025966,-0.3203069754904666,0.060129277679523696,,0.06572160189027358,-0.05362179860184291,0.053990889425453936,,,,55.75694643019094
2022-08-03,1633.05126953125,1678.0982666015625,1595.634521484375,1618.87451171875,16786218830,58.630280233396434,105.54435799921399,95.2969626913764,93.98622941274725,1.3107332786291437,0.6224065964133408,34.0,199607727.89860287,693063.0,2835680869.9736896,1,0,0,0,0,1,-0.010002743850294359,0.01885192612194538,0.05106541345402613,0.07226233161662139,-0.357008817775368,0.06435444357297837,0.022847965416270988,-0.31633630067026486,0.046969551998609305,,0.0651961330141384,-0.06282970475837679,0.01212760857070494,,,,52.51149541199095
2022-08-04,1618.88671875,1658.5115966796875,1585.3265380859375,1608.205810546875,14467440626,57.700679755857706,103.23297947025227,88.56387834959173,92.90175920011615,-4.337880850524414,0.5813309528443112,30.0,183173748.80206442,695558.0,2162588110.938917,1,0,0,0,0,1,-0.012527262398041679,0.01069732982832432,0.040700237961992076,0.06351533579549158,-0.3623691978811327,0.055485785013595024,0.0243624895372736,-0.3126058151777026,0.03674143036656452,,0.0641913981365032,-0.05174837919233777,0.11264996202466748,,,,49.31973656528739
2022-08-05,1607.52392578125,1732.254638671875,1606.4970703125,1732.254638671875,18546491876,64.70752172593981,104.84187867661818,92.1750278655768,92.75641293320828,-0.5813850676314871,0.8417533657981398,31.0,210085555.03954557,687443.0,2233455342.127898,1,0,0,0,0,1,0.044985770117154815,0.07067014777408243,0.0994516747005661,0.1254574128123374,-0.26217340036502956,0.06048082379732511,0.029736388476403475,-0.30711375557848186,0.03607461154367275,,0.060523364369225056,0.030173524626878168,0.20144715886447884,,,,47.33248192354939
2022-08-06,1732.6611328125,1744.326416015625,1691.6580810546875,1691.6580810546875,11757911705,61.13822241161959,101.115196982641,90.71537656116766,92.34820565880017,-1.6328290976325093,0.7391598976777409,31.0,225491829.07577893,610889.0,861842752.5742803,1,0,0,0,0,1,0.016550441735486445,0.041918941333504926,0.07076385249223403,0.10037319856838246,-0.28955306622950355,0.05834190899928848,0.032912921256936345,-0.302373182623638,0.03592323365660466,,0.05977283359743674,0.03452936966108977,0.03387379814022928,,,,45.63005752329558
2022-08-07,1691.7779541015625,1724.7891845703125,1672.908447265625,1699.350830078125,10252090340,61.57080252961005,97.59844986278718,89.15164823552414,91.70889417414497,-2.557245938620838,0.7385325033959071,30.0,222690688.3419183,522072.0,1123561072.3019845,1,0,0,0,0,1,0.015751796317710752,0.040088580703756545,0.06815489864157033,0.10034978709204444,-0.2808923815047466,0.05623585105235529,0.03578600659295117,-0.2976379390662949,0.03638402753246406,,0.05743278441115084,0.04066602233116634,-0.015136361530056375,,-0.04426724876701394,0.19795745761715935,43.68862024052207
2022-08-08,1699.6934814453125,1806.886474609375,1697.407958984375,1775.51611328125,16841424404,65.64795262449134,98.44702598865953,92.98639480872475,91.96439430106093,1.0220005076638188,0.8976081868587616,30.0,201682132.83796376,652517.0,2294099110.488635,1,0,0,0,0,1,0.04348022129208766,0.07043090119926415,0.09829887840779605,0.13349384465457914,-0.2236970309598722,0.06079470880429971,0.040617098943461105,-0.2918948616997702,0.042168078142963195,-0.05239022204502575,0.055446991019824705,0.09675956995344537,0.02785048998234596,0.15070941553805195,-0.017668305623062396,0.23236311404831947,42.82725080374037
2022-08-09,1776.0712890625,1786.12255859375,1675.849853515625,1703.0250244140625,16368619692,59.20926574428762,99.29171735219278,89.14838694580158,91.40119283000908,-2.252805884207504,0.6837005090306133,42.0,200281562.47103348,646055.0,2572928084.4797115,1,0,0,0,0,1,0.002073697352554547,0.02674775509500303,0.0544700017484991,0.09282144912417531,-0.273040879641136,0.05541474569060445,0.04227552265058554,-0.28739244325637536,0.04375934758056288,-0.05124734394034758,0.05830314641815365,0.05895962646406794,0.004160182164429038,0.12026329338842046,-0.06098644982098648,0.19968782571167273,41.61648678480092
2022-08-10,1702.906494140625,1869.400634765625,1665.0904541015625,1851.74267578125,23512477984,66.47400970424951,106.79303616018348,96.98898104322097,92.51875047265146,4.4702305705695125,0.9942095844509102,31.0,207284414.30568495,663480.0,3582463514.5152545,1,0,0,0,0,1,0.06166456542919036,0.09092360230400728,0.11855241727554057,0.15918179845108535,-0.16910057788563224,0.06453912060262956,0.04832124364184698,-0.2807990882447686,0.046305168791203055,-0.04969328322349964,0.05767163956251508,0.06897833288585486,0.10123317693878553,0.17440510494450145,-0.009535860038936084,0.26396271037971253,41.30675044880341
