Date,Open,High,Low,Close,Volume,RSI_7,RSI_14,RSI_21,RSI_Signal,EMA_7,EMA_14,EMA_21,EMA_50,EMA_200,SMA_7,SMA_14,SMA_21,SMA_50,SMA_200,ATR_14,ATR_21,MACD_Line,MACD_Signal,MACD_Histogram,MACD_Signal_Cross,BB_Upper_20,BB_Middle_20,BB_Lower_20,BB_Upper_50,BB_Middle_50,BB_Lower_50,BB_Position_20,BB_Signal
2016-07-18,679.8090209960938,681.5549926757812,668.625,673.1060180664062,69465000,70.10194556731571,46.79399079733789,52.84058855410335,Neutral,666.5593521233297,664.0693245838357,661.675793739071,630.4736633285042,518.5093906214589,664.81201171875,661.1932939801898,663.7741960797991,646.6070397949219,479.9609437561035,20.932935442243302,24.053673153831845,6.182331152734719,7.072957859691986,-0.8906267069572671,Neutral,696.039779969864,664.6128570556641,633.1859341414643,765.4757895994188,646.6070397949219,527.738289990425,63.5125558329871,Neutral
2016-07-19,672.7379760742188,673.2769775390625,667.6320190429688,672.864013671875,61203300,58.91092995564163,50.73665524630948,54.22835132815774,Neutral,668.1355175104661,665.2419497955743,662.6929046420531,632.1360300086365,520.045257517483,665.9995814732143,661.3530796595982,665.0057692754837,649.3870397949219,481.15359375,20.007860456194198,23.299862816220237,6.392262153715137,6.936818718496617,-0.5445565647814794,Neutral,695.6190377769433,666.2615570068359,636.9040762367285,763.9160022913846,649.3870397949219,534.8580772984591,61.244930579605274,Neutral
2016-07-20,672.8060302734375,672.9290161132812,663.3599853515625,665.6849975585938,94636400,62.822070994110106,46.17687579695173,54.21628691402217,Neutral,667.522887522498,665.3010228306435,662.9649130890114,633.4516757949093,521.4944091596832,667.6020071847098,660.521222795759,666.2341017950149,652.0730200195312,482.31482879638673,19.871364048549108,22.864246186755953,5.911206670760407,6.731696308949375,-0.8204896381889677,Neutral,695.0470236095306,665.8789581298828,636.710892650235,761.4916954909315,652.0730200195312,542.6543445481309,49.66751210939173,Neutral
2016-07-21,665.22802734375,666.218994140625,660.4149780273438,665.0120239257812,60491800,58.49676380003321,60.519398397835346,48.47596989929933,Neutral,666.8951716233188,665.2624896433286,663.1510140741723,634.689336505924,522.9224451275051,668.5925816127232,662.2676522391183,665.8376755487351,654.6348608398438,483.489833984375,15.243220738002233,21.29324486142113,5.413262664451736,6.468009580049848,-1.0547469155981117,Neutral,694.0679957955831,665.3147583007812,636.5615208059794,758.9270385595512,654.6348608398438,550.3426831201364,49.47356471587811,Neutral
2016-07-22,664.9219970703125,666.5830078125,646.7219848632812,650.6190185546875,134169000,37.369040152478384,42.40104659090976,45.48824798699321,Neutral,662.826133356161,663.3100268315098,662.0117417542191,635.314029919601,524.1930577984224,666.7874407087054,661.1316528320312,664.6149611700149,656.8878015136719,484.5774740600586,14.501865931919642,21.450436546688987,3.8132860183454795,5.937064867708974,-2.123778849363495,Neutral,685.7327980360062,662.6606079101563,639.5884177843063,755.6117530188479,656.8878015136719,558.1638500084958,23.904537692809992,Neutral
2016-07-23,650.7260131835938,656.3660278320312,648.5239868164062,655.5560302734375,69532200,45.03420574163236,52.444166310162856,40.814914039153734,Neutral,661.0086075854801,662.2761606237669,661.4248588923299,636.1078338550457,525.5001520519052,666.0430123465402,661.45993913923,662.3222946893601,658.6150427246093,485.6954542541504,12.696010044642858,20.518819173177082,2.910122503736943,5.3316763949145685,-2.4215538911776253,Neutral,685.7320879853288,662.5052093505859,639.278330715843,754.0436249448175,658.6150427246093,563.1864605044012,35.040652283872106,Neutral
2016-07-24,655.4099731445312,663.1099853515625,652.7930297851562,661.2849731445312,118184000,26.99837006481117,56.074949426984254,50.588245286037726,Neutral,661.0776989752429,662.1440022932022,661.4121420061663,637.0951726507117,526.8512447990955,663.4467250279018,662.3117239815848,662.4471028645834,660.3862023925781,486.8563540649414,12.645076206752233,18.345386323474703,2.6263616600283513,4.790613447937325,-2.1642517879089738,Neutral,682.3696134583408,661.3863586425781,640.4031038268154,752.5393782428794,660.3862023925781,568.2330265422768,49.75841331829347,Neutral
2016-07-25,661.2630004882812,661.8280029296875,653.39501953125,654.0969848632812,78176496,26.439527586217324,53.106061944557325,42.78792654060542,Neutral,659.3325204472525,661.0710666358794,660.7471277204494,637.7619103845379,528.1173715659033,660.7311488560268,662.7715802873884,661.0392456054688,661.9686022949219,487.8365989685059,12.201071602957589,17.168195452008927,1.8007110887037925,4.192632976090619,-2.391921887386826,Neutral,681.3114903660801,660.5598571777343,639.8082239893886,750.7927426825323,661.9686022949219,573.1444619073114,34.428039336001106,Neutral
2016-07-26,654.2260131835938,656.2249755859375,645.8790283203125,651.7839965820312,225135008,25.148479515079643,42.832088393791544,45.149723177084965,Neutral,657.4453894809471,659.8327906286997,659.9322976169568,638.3117961177729,529.3478852476559,657.7197178431919,661.8596496582031,660.1419590541294,663.2935424804688,488.82936889648437,10.905783517020089,16.775335402715776,0.9488010506863702,3.543866591009769,-2.595065540323399,Neutral,678.7955587595075,659.2825073242187,639.76945588893,749.3989966037786,663.2935424804688,577.1880883571589,30.785909453847232,Neutral
2016-07-27,651.6270141601562,657.4559936523438,648.447021484375,654.3519897460938,147460992,35.009607156120325,49.92885377860913,43.95641933801982,Neutral,656.6720395472338,659.1020171776856,659.4249969014238,638.9408233188835,530.5917071829638,656.1007167271206,661.8513619559152,659.0477207728794,664.848642578125,489.86307388305664,10.532710484095983,16.65766834077381,0.475391774151376,2.930171627638091,-2.454779853486715,Neutral,677.5815189698307,659.9720062255859,642.3624934813412,747.2939587836312,664.848642578125,582.4033263726188,34.04266897921711,Neutral
