,Open,High,Low,Close,Volume,RSI_14,ATR_14,MACD_Line,MACD_Signal,MACD_Histogram,BB_Position_20,FearGreedIndex,HashRate,ActiveAddresses,TxVolumeUSD,RSI_Signal_Neutral,RSI_Signal_Overbought (Sell),RSI_Signal_Oversold (Buy),BB_Signal_Above Upper Band (Sell),BB_Signal_Below Lower Band (Buy),BB_Signal_Neutral,Dist_EMA7_pct,Dist_EMA14_pct,Dist_EMA21_pct,Dist_EMA50_pct,Dist_EMA200_pct,EMA_7_21_ratio,EMA_21_50_ratio,EMA_50_200_ratio,EMA_21_slope,EMA_200_slope,ATR_pct,Return_5d,Return_10d,Return_20d,Dist_from_20d_high,Dist_from_20d_low,ADX_14
2022-07-19,43.66854476928711,47.09938049316406,42.71699905395508,44.89987564086914,2530289999,64.59202383133815,3.3053413080142637,1.0259848040027322,-0.1019822295091844,1.1279670335119165,1.1000507844967853,30.0,199988701.51202142,682638.0,4686873167.751223,1,0,0,1,0,0,0.09887725168895757,0.13881990669908664,0.1532417542604906,0.07730061553027145,-0.7166545197784508,0.06420309792679291,-0.08230322899138187,-0.4625014096669777,,,0.0736158232252574,,,,,,
2022-07-20,44.896854400634766,46.09572982788086,41.64255142211914,42.09366989135742,2020822242,57.72098709009186,3.387329672139082,1.195694135326434,0.1575530434579393,1.0381410918684948,0.8490113507127216,31.0,182598379.64141086,642244.0,3376687092.8781495,1,0,0,0,0,1,0.029102426075863864,0.07055420365387342,0.0879927156892251,0.015169031980759043,-0.8228269500269072,0.06457217022983097,-0.07394536328902612,-0.45972327872116237,,,0.08047123667006666,,,,,,100.0
2022-07-21,42.08842468261719,43.91940689086914,39.81828689575195,43.19059371948242,1926399176,59.53309881874977,3.438314695208947,1.4025350377771844,0.40654944232178836,0.995985595455396,0.8822518706521154,34.0,199187652.45519632,686329.0,6542475947.197538,1,0,0,0,0,1,0.04032044152045293,0.08160498983289169,0.10105020438587961,0.03860533694439836,-0.7688054065416883,0.06755634537292377,-0.06495237579436175,-0.4564723403151002,,,0.07960795161882647,,,,,,100.0
2022-07-22,43.18901062011719,44.22321701049805,40.138877868652344,40.61850357055664,1523873136,53.71899949976891,3.484459298540144,1.3434255900647187,0.5939246718703745,0.7495009181943443,0.6806750368190917,33.0,181711862.6387281,650694.0,2968088068.9026737,1,0,0,0,0,1,-0.01533709272147802,0.020322776523217092,0.04011445784156501,-0.021399709760098338,-0.8720473784158537,0.05776891944674212,-0.06022536232765474,-0.4543943056481735,,,0.08578502387433946,,,,,,98.51578751844005
2022-07-23,40.59116744995117,41.826377868652344,38.714317321777344,40.040977478027344,1151436691,52.47967453562957,3.4578593877069195,1.2357346183496105,0.7222866611662216,0.5134479571833889,0.620315042263609,31.0,211997173.07851613,572761.0,1605649425.5929158,1,0,0,0,0,1,-0.0224862613929203,0.005366853359033506,0.023881515723292286,-0.03471481123307195,-0.8901028650927062,0.047502201692831036,-0.05663041286374826,-0.45256164077486805,,,0.08635801634973658,,,,,,97.64831577999158
2022-07-24,40.03881072998047,42.021121978759766,39.60561752319336,41.00658416748047,1115260733,54.37495684744143,3.383405463982597,1.2143073579781927,0.8206908005286159,0.3936165574495768,0.6767181052352603,30.0,216126988.13848722,531268.0,986955946.3014323,1,0,0,0,0,1,0.001193127971615527,0.024949667608518786,0.04260614953534277,-0.009943886607352303,-0.8371815913092947,0.04325599286399018,-0.05203262957432564,-0.4502754156775538,0.0326179144917893,,0.0825088344389764,-0.08671051796510743,,,,,96.20093432811476
2022-07-25,41.00947952270508,41.04818344116211,36.711997985839844,36.711997985839844,1465847128,45.653748108504026,3.4514611776497164,0.8410932864112652,0.8247712977051458,0.01632198870611945,0.3434528104363192,30.0,195477912.83863172,629329.0,2240841200.856595,1,0,0,0,0,1,-0.0867358148285934,-0.07723054099120416,-0.06308201589845146,-0.12306453832189522,-1.0416273112477235,0.022250210779975577,-0.05340968428499293,-0.44991696959836236,0.016622445714209455,,0.09401452841060236,-0.12784990996051238,,,,,95.56045830503639
2022-07-26,36.715423583984375,36.715423583984375,34.81983947753906,36.190853118896484,1362323126,44.71647291677111,3.340327101135116,0.49753118071051006,0.7593232743062186,-0.26179209359570854,0.30841985681572864,26.0,220256803.19845834,655695.0,2529268854.929778,1,0,0,0,0,1,-0.07678853094574087,-0.08037688450541737,-0.07126390593350146,-0.1337763042902988,-1.0603695710984526,0.005157109262843296,-0.055136448098487834,-0.449721875048929,-0.001448010904815833,,0.0922975507142996,-0.1620663204133842,,,,,95.17974926868828
2022-07-27,36.2037467956543,40.39472961425781,35.75505828857422,40.3078498840332,1829226049,52.93663537318532,3.433137402888579,0.5511101141386519,0.7176806422727053,-0.16657052813405349,0.6155669549745091,28.0,227139828.29841012,644191.0,2043786368.01846,1,0,0,0,0,1,0.024895045090092306,0.025975343454919492,0.03468521791983627,-0.017268863625491637,-0.8414688532766227,0.010141948524446054,-0.05107212400089234,-0.4475774804361141,-0.0020352089536666007,,0.08517292320889876,-0.007648082997046224,,,,,90.34853464537161
2022-07-28,40.30208206176758,44.07329559326172,39.13290023803711,42.84526824951172,2454901807,57.16417803437319,3.540798685198295,0.7892225941089848,0.7319890326399613,0.057233561469023475,0.7808695745697887,32.0,194101307.8186414,697022.0,3762271329.7370615,1,0,0,0,0,1,0.061982645642553784,0.07250520121308701,0.08350354412465276,0.041291324927135,-0.7251241623238511,0.02348170398710847,-0.04403028813138621,-0.44426685567871016,0.004676972780301769,,0.08264153382301784,0.07003552231019428,,,,,84.31360720380097
