,Open,High,Low,Close,Volume,RSI_14,ATR_14,MACD_Line,MACD_Signal,MACD_Histogram,BB_Position_20,FearGreedIndex,HashRate,ActiveAddresses,TxVolumeUSD,RSI_Signal_Neutral,RSI_Signal_Overbought (Sell),RSI_Signal_Oversold (Buy),BB_Signal_Above Upper Band (Sell),BB_Signal_Below Lower Band (Buy),BB_Signal_Neutral,Dist_EMA7_pct,Dist_EMA14_pct,Dist_EMA21_pct,Dist_EMA50_pct,Dist_EMA200_pct,EMA_7_21_ratio,EMA_21_50_ratio,EMA_50_200_ratio,EMA_21_slope,EMA_200_slope,ATR_pct,Return_5d,Return_10d,Return_20d,Dist_from_20d_high,Dist_from_20d_low,ADX_14
2022-08-18,0.37971100211143494,0.3808619976043701,0.3709149956703186,0.37096500396728516,927786270,50.25449083633114,0.014804316382908163,0.004627922906295878,0.005911014100346053,-0.0012830911940501745,0.22059566096726796,30.0,202403376.03316846,685923.0,2417721838.724551,1,0,0,0,0,1,-0.013415579070834795,-0.011042128893968828,-0.004626299582644965,-0.00034156809182470473,-0.4324095157831695,0.008748804895752027,0.004283268462984546,-0.30163716655785533,0.005266124002909489,-0.06065236379690819,0.0399075821831801,-0.01851760006629677,-0.02056476281338826,0.006211461293962772,-0.09966973340874327,0.029364001825263185,30.72888487535247
2022-08-19,0.3709689974784851,0.3709689974784851,0.33380600810050964,0.33504900336265564,1645536381,33.512403414030146,0.0164013644539844,0.0010549103990405428,0.004939793360084951,-0.003884882961044408,-0.4686577971717118,33.0,250867150.78611156,736405.0,3627489929.5612745,1,0,0,0,1,0,-0.09153745542619121,-0.10349912335134354,-0.10210771197909152,-0.10335583882229894,-0.5801280284714485,-0.009590946908373366,-0.0011312097143018063,-0.30173010101615605,-0.005357574022755052,-0.06116753047057999,0.04895213622298596,-0.1099797420738261,-0.08979056659072393,-0.13594609752012898,-0.18751289206670582,0.0037098909403427867,29.953508841276456
2022-08-20,0.3350200057029724,0.3423829972743988,0.333622008562088,0.33754101395606995,848212364,35.12729485792099,0.01585562332957914,-0.001557687277528641,0.0036402972325622323,-0.005197984510090873,-0.16996437368141498,29.0,209995536.33219454,597278.0,946263990.6468556,1,0,0,0,1,0,-0.06260910849152057,-0.08263854576620627,-0.08542820853104491,-0.09147621831274591,-0.5628058590708377,-0.021023131571646148,-0.005541128317985922,-0.3015919335229007,-0.014217015992975202,-0.06151529747916529,0.04697391627686082,-0.10174461924977807,-0.11421672368027957,-0.11280347283561121,-0.15979979510854542,0.011610456898408148,29.24416243172368
2022-08-21,0.3374750018119812,0.3481670022010803,0.33649900555610657,0.3453019857406616,835616993,40.01386860611258,0.015556507137821612,-0.0029677340068102187,0.002318690984687742,-0.005286424991497961,0.05558004112682789,27.0,205767438.2852376,549247.0,729684429.3867123,1,0,0,0,0,1,-0.029044511899863953,-0.050531237099810895,-0.055483851062935456,-0.06431904438949826,-0.5224298447139527,-0.025049496623226863,-0.008301263961344119,-0.3009076588422558,-0.020707697837158756,-0.061715974712492794,0.045051890172173224,-0.0846550233595853,-0.09265484559979487,-0.09125317973605862,-0.13373225464449218,0.03382539823372412,28.0776339617841
2022-08-22,0.3452819883823395,0.3452819883823395,0.33252400159835815,0.3447209894657135,1001511240,39.772341688960076,0.015358041209570317,-0.0040849984234020975,0.001037953103069774,-0.005122951526471872,0.10099403365868098,29.0,204358072.2695853,629040.0,2363547456.2653685,1,0,0,0,0,1,-0.023084155519404598,-0.045328238082254974,-0.052057067564629474,-0.06352019745219001,-0.5197719250739689,-0.027539297000583107,-0.010778478786789392,-0.3002106566744037,-0.027320875470147055,-0.061793316158633926,0.04455209192040757,-0.09213951373585427,-0.09282753733260674,-0.07338295674108519,-0.13404755995050366,0.035382202535040236,27.25569629391822
2022-08-23,0.3447340130805969,0.34769099950790405,0.3339569866657257,0.34709200263023376,930696331,41.32875732067538,0.015242039183328034,-0.00472465469765454,-0.00011456845707508883,-0.0046100862405794515,0.1759025957717171,28.0,242410954.69219768,641154.0,1933412558.3110597,1,0,0,0,0,1,-0.01207153951569326,-0.033095848483470365,-0.04079125617473888,-0.05404911961016483,-0.5043216821710174,-0.027594117925817674,-0.012578031885581709,-0.29931933302392155,-0.030672000113795228,-0.061791628753261385,0.043913541850071895,-0.0643537829222206,-0.08167970537361047,-0.061538137982594,-0.12630079058255825,0.041971583676606014,26.270311211555455
2022-08-24,0.3470740020275116,0.3521359860897064,0.3396340012550354,0.34614500403404236,957472562,40.87441705128529,0.015046321015566818,-0.005247511727062337,-0.0011411571110725384,-0.004106354615989799,0.1939025159305743,25.0,205767438.2852376,649399.0,1805257439.5020328,1,0,0,0,0,1,-0.011130306724760992,-0.0311326055346754,-0.039671543889631226,-0.05470017303121243,-0.5033781937035764,-0.0274521673047734,-0.014249195672727422,-0.29844654029938034,-0.025410218934057482,-0.06183216306981698,0.04346825994948365,0.03311754567249503,-0.08050445553251018,-0.06787648172557192,-0.12938217339941396,0.03935056775900951,24.9472765005133
2022-08-25,0.3461790084838867,0.3513660132884979,0.3442789912223816,0.349496990442276,970585823,43.25242755846789,0.014477799662034642,-0.0053299619172286206,-0.0019789180723037546,-0.003351043844924866,0.2688866896449826,25.0,224089196.48871768,656808.0,2158452625.428465,1,0,0,0,0,1,-0.001074502080708677,-0.018410711321605332,-0.027000155275999242,-0.042836243930274624,-0.4840941939045761,-0.02524405966455112,-0.015185594810736336,-0.2973247599691595,-0.020315369183572685,-0.06190076981850823,0.041424676200254265,0.035420811077382375,-0.06992768510898228,-0.07195528547578034,-0.11855039573476063,0.04856404864156093,23.718744268831298
2022-08-26,0.3494639992713928,0.36956799030303955,0.33393898606300354,0.3383699953556061,1653482688,37.81533620398947,0.015988599989034742,-0.006221442877495209,-0.002827423033342046,-0.003394019844153163,0.14569357881368536,27.0,248048418.754807,686060.0,2261441431.608619,1,0,0,0,0,1,-0.025495457239078926,-0.044980206252471254,-0.05524739830082607,-0.07410431643966163,-0.5275948452164639,-0.028194280421495632,-0.017555946708547543,-0.29686571030065345,-0.020294679350376432,-0.06208493941396254,0.04725182554153983,-0.020075153550555558,-0.10303071431737132,-0.08935306749661975,-0.15533292648029345,0.017276927143330616,22.95627674243022
2022-08-27,0.33843299746513367,0.3402490019798279,0.33042699098587036,0.3353469967842102,920820399,36.473861116488635,0.015548129346529228,-0.007090147870550512,-0.003679968000783739,-0.0034101798697667727,0.14726636835949236,28.0,204358072.2695853,605125.0,1378816166.8416512,1,0,0,0,0,1,-0.026054869502384108,-0.04714685823977747,-0.05887269736099725,-0.08050111198645564,-0.5359786879985191,-0.030993175988392352,-0.020017022088663516,-0.2965389946950244,-0.020890767443887404,-0.06233910644024154,0.04636430174006947,-0.027192984958740563,-0.11682695028347001,-0.09975408879285097,-0.16574772017079412,0.01467138768356342,21.936988601737237
